destination_id,old_destination_id,old_destination_id,destination_name,district,province,region,category,travel_type,activities,best_season,estimated_budget_npr,average_duration_days,difficulty_level,family_friendly,latitude,longitude,average_rating,review_count,popularity_score,description
722,722,D335,Karnali Chisapani Bridge,Kailali,Sudurpashchim,Terai,Bridge,Adventure,"Photography,Sightseeing",All Year,1500,1,Easy,Yes,28.6532,81.277,4.7,2540,89.0,Iconic bridge over the Karnali River providing spectacular river and sunset views.
723,723,D336,Karnali River,Kailali,Sudurpashchim,Terai,River,Adventure,"Rafting,Fishing,Photography",Oct-Apr,6000,2,Moderate,Yes,28.641,81.2718,4.8,3025,94.0,One of Nepal's longest rivers offering exciting rafting adventures and beautiful riverside scenery.
724,724,D337,Tikapur Great Garden,Kailali,Sudurpashchim,Terai,Garden,Family,"Picnic,Nature Walk",All Year,1000,1,Easy,Yes,28.5268,81.1198,4.5,936,81.0,"Large public garden ideal for family picnics, outdoor activities and peaceful walks."
725,725,D338,Patharaiya River,Kailali,Sudurpashchim,Terai,River,Nature,"Fishing,Photography",Oct-Apr,1500,1,Easy,Yes,28.6182,80.8816,4.4,396,72.0,Beautiful river flowing through Kailali with peaceful natural surroundings suitable for relaxation.
726,726,D339,Hasuliya Forest,Kailali,Sudurpashchim,Terai,Forest,Nature,"Nature Walk,Bird Watching",Oct-Apr,1800,1,Easy,Yes,28.6423,80.7131,4.5,522,78.0,Dense Terai forest supporting wildlife and providing a refreshing destination for nature enthusiasts.
727,727,D340,Dadeldhura Bazaar,Dadeldhura,Sudurpashchim,Hill,Urban,Cultural,"Shopping,Local Food,Sightseeing",All Year,1500,1,Easy,Yes,29.2981,80.5804,4.3,812,74.0,"District headquarters surrounded by green hills, known for traditional culture, local markets and pleasant weather throughout the year."
728,728,D341,Ajaymeru Fort,Dadeldhura,Sudurpashchim,Hill,Historical,Cultural,"History,Photography,Hiking",Oct-Apr,1800,1,Easy,Yes,29.3045,80.5678,4.6,694,84.0,"Historic fort believed to date back to the medieval period, offering panoramic views of surrounding hills."
729,729,D342,Ugratara Temple,Dadeldhura,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Pilgrimage",All Year,1200,1,Easy,Yes,29.2876,80.5622,4.8,1562,91.0,One of the most revered temples in Sudurpashchim attracting thousands of pilgrims every year.
730,730,D343,Bhageshwor Temple,Dadeldhura,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Cultural Tour",All Year,1000,1,Easy,Yes,29.2912,80.5714,4.7,884,87.0,Ancient Hindu temple surrounded by peaceful forests and traditional settlements.
731,731,D344,Amargadhi View Tower,Dadeldhura,Sudurpashchim,Hill,Viewpoint,Nature,"Photography,Sunrise,Hiking",Oct-Apr,1500,1,Easy,Yes,29.3005,80.5786,4.6,721,83.0,Popular hilltop viewpoint overlooking Dadeldhura valley and distant Himalayan ranges.
732,732,D345,Khaptad National Park (Dadeldhura Entry),Dadeldhura,Sudurpashchim,Hill,National Park,Adventure,"Camping,Trekking,Photography",Apr-Nov,8500,3,Moderate,Yes,29.3751,80.9842,4.9,2814,98.0,"One of Nepal's most beautiful protected areas famous for alpine meadows, wildlife and spiritual significance."
733,733,D346,Khaptad Baba Ashram,Doti,Sudurpashchim,Hill,Religious,Religious,"Meditation,Temple Visit",Apr-Nov,2500,1,Easy,Yes,29.3842,81.0115,4.8,1235,90.0,"Sacred hermitage associated with Khaptad Baba, attracting spiritual seekers and pilgrims."
734,734,D347,Khaptad National Park (Doti Entry),Doti,Sudurpashchim,Hill,National Park,Adventure,"Camping,Hiking,Wildlife Watching",Apr-Nov,9000,3,Moderate,Yes,29.377,81.0204,4.9,2962,99.0,"Beautiful highland national park featuring rolling meadows, forests and rare Himalayan wildlife."
735,735,D348,Silgadhi,Doti,Sudurpashchim,Hill,Urban,Cultural,"Shopping,Sightseeing",All Year,1200,1,Easy,Yes,29.2678,80.9403,4.3,518,72.0,District headquarters offering beautiful mountain scenery and authentic local culture.
736,736,D349,Shaileshwari Temple,Doti,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Pilgrimage",All Year,1000,1,Easy,Yes,29.2708,80.9441,4.8,1354,89.0,Ancient Hindu temple dedicated to Goddess Shaileshwari and an important religious destination.
737,737,D350,Dipayal,Doti,Sudurpashchim,Hill,Urban,Cultural,"Local Market,Photography",All Year,1200,1,Easy,Yes,29.2663,80.9382,4.2,466,70.0,Historic town located along the Seti River with scenic landscapes and vibrant local markets.
738,738,D351,Seti River Gorge,Doti,Sudurpashchim,Hill,River,Nature,"Photography,Hiking",Oct-Apr,1800,1,Easy,Yes,29.2516,80.9318,4.6,628,81.0,Deep river gorge carved by the Seti River providing spectacular natural scenery.
739,739,D352,Mastamandu Temple,Achham,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Pilgrimage",All Year,1000,1,Easy,Yes,29.1112,81.2214,4.7,985,86.0,"Famous temple dedicated to Mastamandu, attracting pilgrims from across western Nepal."
740,740,D353,Mangalsen,Achham,Sudurpashchim,Hill,Urban,Cultural,"Shopping,Sightseeing",All Year,1200,1,Easy,Yes,29.0506,81.2043,4.3,588,71.0,"District headquarters known for traditional culture, beautiful hills and welcoming communities."
741,741,D354,Ramaroshan Lake Cluster,Achham,Sudurpashchim,Hill,Lake,Adventure,"Camping,Hiking,Photography",May-Oct,7000,2,Moderate,Yes,29.1852,81.0341,4.9,2084,96.0,"Series of beautiful alpine lakes surrounded by grasslands and forests, one of the province's hidden gems."
742,742,D355,Ramaroshan Grasslands,Achham,Sudurpashchim,Hill,Grassland,Nature,"Horse Riding,Camping",May-Oct,5000,2,Moderate,Yes,29.1884,81.0288,4.8,864,90.0,"Expansive high-altitude grasslands famous for wildflowers, grazing animals and breathtaking mountain scenery."
743,743,D356,Achham Viewpoint,Achham,Sudurpashchim,Hill,Viewpoint,Nature,"Photography,Sunrise",Oct-Apr,1500,1,Easy,Yes,29.0753,81.1827,4.5,432,77.0,Hilltop viewpoint offering panoramic views of the surrounding valleys and distant Himalayan peaks.
744,744,D357,Budhiganga River,Achham,Sudurpashchim,Hill,River,Nature,"Fishing,Photography",Oct-Apr,1800,1,Easy,Yes,29.1024,81.2381,4.4,318,74.0,Beautiful mountain river flowing through Achham with crystal-clear water and peaceful surroundings.
745,745,D358,Safebagar,Achham,Sudurpashchim,Hill,Urban,Cultural,"Local Market,Sightseeing",All Year,1200,1,Easy,Yes,29.0846,81.1618,4.2,396,69.0,Growing municipality serving as an important commercial and transportation center in Achham.
746,746,D359,Chaurpati,Achham,Sudurpashchim,Hill,Village,Cultural,"Village Walk,Photography",All Year,1000,1,Easy,Yes,29.0184,81.2967,4.2,244,66.0,"Traditional hill village offering authentic rural experiences, terraced fields and beautiful landscapes."
747,747,D360,Api Nampa Conservation Area,Darchula,Sudurpashchim,Mountain,Conservation Area,Adventure,"Wildlife Watching,Trekking,Photography",Apr-Nov,18000,6,Difficult,No,30.0876,80.9321,4.9,2158,98.0,"Nepal's westernmost protected conservation area famous for snow leopards, Himalayan biodiversity, alpine meadows and spectacular mountain scenery."
748,748,D361,Api Base Camp,Darchula,Sudurpashchim,Mountain,Trekking,Adventure,"Camping,Trekking,Photography",Apr-Nov,32000,8,Difficult,No,30.1012,80.9418,4.9,1875,97.0,"A challenging Himalayan trek leading to the base of Mount Api, Nepal's highest peak in the far western region."
749,749,D362,Mount Api,Darchula,Sudurpashchim,Mountain,Peak,Expedition,"Mountaineering,Photography",Apr-May,85000,15,Difficult,No,30.0045,80.9284,5.0,684,99.0,"The highest mountain in Sudurpashchim Province, attracting experienced climbers seeking remote Himalayan expeditions."
750,750,D363,Gokuleshwor,Darchula,Sudurpashchim,Hill,Urban,Cultural,"Sightseeing,Shopping",All Year,1500,1,Easy,Yes,29.8461,80.6127,4.3,548,73.0,"Historic hill town known for its temples, local markets and as a gateway to remote Himalayan destinations."
751,751,D364,Khalanga Darchula,Darchula,Sudurpashchim,Hill,Urban,Cultural,"Local Food,Sightseeing",All Year,1500,1,Easy,Yes,29.8504,80.5385,4.4,895,78.0,District headquarters located beside the Mahakali River with beautiful mountain scenery and cross-border cultural influence.
752,752,D365,Malikarjun Temple,Darchula,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Pilgrimage",All Year,1200,1,Easy,Yes,29.9405,80.7452,4.8,1215,89.0,One of the most important religious sites in Darchula dedicated to Lord Shiva and visited by thousands of devotees.
753,753,D366,Byas Valley,Darchula,Sudurpashchim,Mountain,Valley,Adventure,"Camping,Trekking,Cultural Tour",May-Oct,24000,6,Difficult,No,30.1638,80.9925,4.8,824,91.0,"Remote Himalayan valley rich in Tibetan-influenced culture, dramatic landscapes and trekking opportunities."
754,754,D367,Chhangru Village,Darchula,Sudurpashchim,Mountain,Village,Cultural,"Village Walk,Photography",May-Oct,9000,2,Moderate,Yes,30.1652,80.9973,4.6,322,80.0,Traditional Himalayan village preserving unique Byasi culture and offering magnificent mountain views.
755,755,D368,Tinkar Village,Darchula,Sudurpashchim,Mountain,Village,Cultural,"Village Tour,Photography",May-Oct,12000,3,Moderate,Yes,30.2147,81.0124,4.6,214,78.0,One of Nepal's northernmost settlements famous for traditional lifestyles and proximity to the Tibet border.
756,756,D369,Mahakali River Viewpoint,Darchula,Sudurpashchim,Hill,Viewpoint,Nature,"Photography,Sunset",Oct-Apr,1500,1,Easy,Yes,29.8534,80.5408,4.5,468,80.0,Excellent viewpoint overlooking the Mahakali River and surrounding Himalayan foothills.
757,757,D370,Tripura Sundari Temple,Baitadi,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Pilgrimage",All Year,1000,1,Easy,Yes,29.5318,80.4834,4.8,1452,91.0,"Ancient temple dedicated to Goddess Tripura Sundari, one of the most important religious sites in western Nepal."
758,758,D371,Patan Baitadi,Baitadi,Sudurpashchim,Hill,Urban,Cultural,"Shopping,Sightseeing",All Year,1500,1,Easy,Yes,29.5255,80.5421,4.3,614,73.0,Historic hill town surrounded by terraced landscapes and traditional settlements.
759,759,D372,Dasharathchand Municipality,Baitadi,Sudurpashchim,Hill,Urban,Cultural,"Local Market,Photography",All Year,1200,1,Easy,Yes,29.5302,80.5457,4.2,432,70.0,"Administrative center named after Nepal's martyr Dasharath Chand, featuring scenic mountain surroundings."
760,760,D373,Pancheshwor,Darchula,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,River Sightseeing",Oct-Apr,2200,1,Easy,Yes,29.6725,80.3124,4.8,1640,92.0,"Sacred confluence of the Mahakali and Sarayu rivers, important to Hindu pilgrims from Nepal and India."
761,761,D374,Jhulaghat Suspension Bridge,Baitadi,Sudurpashchim,Hill,Bridge,Adventure,"Walking,Photography",All Year,1000,1,Easy,Yes,29.5171,80.4238,4.6,895,84.0,Historic suspension bridge connecting Nepal and India across the Mahakali River.
762,762,D375,Niglasain Temple,Baitadi,Sudurpashchim,Hill,Religious,Religious,Temple Visit,All Year,1000,1,Easy,Yes,29.5647,80.4922,4.6,624,82.0,Well-known regional temple attracting devotees during religious festivals and special occasions.
763,763,D376,Badimalika Temple,Bajura,Sudurpashchim,Mountain,Religious,Trekking,"Pilgrimage,Trekking,Camping",Jul-Sep,14000,4,Difficult,No,29.7338,81.4285,4.9,2865,98.0,One of Nepal's most sacred high-altitude pilgrimage destinations situated amidst alpine meadows and Himalayan peaks.
764,764,D377,Badimalika Trek,Bajura,Sudurpashchim,Mountain,Trekking,Adventure,"Camping,Hiking,Photography",Jul-Oct,18000,5,Difficult,No,29.7361,81.4308,4.9,1420,95.0,Scenic trekking route leading to the famous Badimalika Temple through beautiful grasslands and mountain landscapes.
765,765,D378,Martadi,Bajura,Sudurpashchim,Hill,Urban,Cultural,"Shopping,Sightseeing",All Year,1500,1,Easy,Yes,29.5423,81.2158,4.2,410,69.0,District headquarters of Bajura serving as the gateway to Badimalika and surrounding Himalayan attractions.
766,766,D379,Budhinanda Lake,Bajura,Sudurpashchim,Mountain,Lake,Adventure,"Camping,Photography,Hiking",May-Oct,9000,3,Moderate,Yes,29.7925,81.4621,4.8,725,90.0,"Beautiful alpine lake surrounded by snow-capped mountains and pristine meadows, offering peaceful trekking experiences."
767,767,D380,Khaptad National Park (Bajhang Entry),Bajhang,Sudurpashchim,Hill,National Park,Adventure,"Camping,Hiking,Wildlife Watching",Apr-Nov,8500,3,Moderate,Yes,29.3872,81.0384,4.9,2456,98.0,"One of Nepal's most beautiful national parks featuring rolling alpine meadows, forests, rare wildlife and breathtaking Himalayan scenery."
768,768,D381,Khaptad Lake,Bajhang,Sudurpashchim,Hill,Lake,Nature,"Photography,Hiking",Apr-Nov,3000,1,Easy,Yes,29.391,81.0452,4.8,845,89.0,"Small alpine lake located inside Khaptad National Park, surrounded by peaceful grasslands and forests."
769,769,D382,Chainpur,Bajhang,Sudurpashchim,Hill,Urban,Cultural,"Shopping,Local Food,Sightseeing",All Year,1500,1,Easy,Yes,29.6085,81.2274,4.3,682,74.0,"District headquarters known for traditional markets, mountain scenery and friendly local communities."
770,770,D383,Surma Sarovar,Bajhang,Sudurpashchim,Mountain,Lake,Adventure,"Camping,Trekking,Photography",May-Oct,12000,4,Difficult,No,30.0068,81.1515,4.9,1182,94.0,"Sacred high-altitude lake surrounded by snow-covered peaks and alpine landscapes, attracting trekkers and pilgrims."
771,771,D384,Talkot,Bajhang,Sudurpashchim,Hill,Village,Cultural,"Village Walk,Photography",All Year,1200,1,Easy,Yes,29.7142,81.2568,4.3,286,70.0,"Traditional settlement offering authentic hill culture, terraced farms and scenic mountain views."
772,772,D385,Saipal Base Camp,Bajhang,Sudurpashchim,Mountain,Trekking,Adventure,"Camping,Trekking,Photography",Apr-Nov,26000,7,Difficult,No,30.1304,81.0845,4.9,964,95.0,Remote Himalayan trekking destination leading to the base of Mount Saipal through untouched mountain landscapes.
773,773,D386,Saipal Himal,Bajhang,Sudurpashchim,Mountain,Peak,Expedition,"Mountaineering,Photography",Apr-May,90000,16,Difficult,No,30.1488,81.0662,5.0,482,98.0,One of western Nepal's highest mountains attracting experienced climbers and expedition teams.
774,774,D387,Bungal,Bajhang,Sudurpashchim,Hill,Urban,Cultural,"Local Culture,Sightseeing",All Year,1500,1,Easy,Yes,29.7514,81.1426,4.2,214,68.0,"Historic municipality surrounded by forests, rivers and traditional settlements."
775,775,D388,Bitthadchir,Bajhang,Sudurpashchim,Hill,Viewpoint,Nature,"Photography,Hiking",Oct-Apr,1800,1,Easy,Yes,29.6425,81.1946,4.5,402,78.0,Hilltop viewpoint offering panoramic vistas of Bajhang's valleys and distant Himalayan ranges.
776,776,D389,Jayaprithvi Highway Viewpoint,Bajhang,Sudurpashchim,Hill,Viewpoint,Nature,"Photography,Road Trip",All Year,1000,1,Easy,Yes,29.6208,81.2304,4.4,365,76.0,Scenic roadside viewpoint popular among travelers exploring far-western Nepal.
777,777,D390,Badimalika Meadow,Bajura,Sudurpashchim,Mountain,Grassland,Nature,"Camping,Horse Riding,Photography",Jul-Oct,6000,2,Moderate,Yes,29.7395,81.4324,4.8,935,90.0,"Beautiful alpine meadow surrounding Badimalika Temple, famous for seasonal wildflowers and grazing horses."
778,778,D391,Triveni Bajura,Bajura,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Pilgrimage",Oct-Apr,1500,1,Easy,Yes,29.6032,81.2861,4.6,514,82.0,Sacred religious destination visited by devotees during annual festivals and religious ceremonies.
779,779,D392,Gaumul,Bajura,Sudurpashchim,Mountain,Village,Cultural,"Village Walk,Hiking",May-Oct,3500,2,Moderate,Yes,29.8216,81.3414,4.5,288,76.0,Remote Himalayan settlement offering traditional mountain lifestyle and impressive natural scenery.
780,780,D393,Kolti,Bajura,Sudurpashchim,Hill,Urban,Cultural,"Sightseeing,Shopping",All Year,1800,1,Easy,Yes,29.5054,81.2145,4.3,356,71.0,Important transportation hub connecting remote Himalayan villages with lower regions.
781,781,D394,Pandusen,Darchula,Sudurpashchim,Mountain,Village,Cultural,"Village Tour,Photography",May-Oct,5000,2,Moderate,Yes,30.0548,80.8746,4.5,242,75.0,Traditional Himalayan village offering authentic local culture and beautiful mountain landscapes.
782,782,D395,Rapla,Darchula,Sudurpashchim,Mountain,Village,Cultural,"Photography,Hiking",May-Oct,4500,2,Moderate,Yes,30.0824,80.8928,4.4,188,72.0,"Peaceful mountain village surrounded by forests, rivers and panoramic Himalayan scenery."
783,783,D396,Chameliya River,Darchula,Sudurpashchim,Mountain,River,Adventure,"Fishing,Photography,Rafting",Oct-Apr,4500,2,Moderate,Yes,29.9426,80.6814,4.7,628,84.0,"Fast-flowing Himalayan river known for dramatic gorges, hydropower projects and scenic beauty."
784,784,D397,Mahakali Corridor,Darchula,Sudurpashchim,Mountain,Scenic Route,Road Trip,"Road Trip,Photography",Oct-Apr,3000,2,Easy,Yes,29.9152,80.6185,4.6,542,82.0,Spectacular mountain highway following the Mahakali River with breathtaking landscapes throughout the journey.
785,785,D398,Naugad Valley,Darchula,Sudurpashchim,Mountain,Valley,Adventure,"Camping,Hiking,Photography",May-Oct,7000,3,Moderate,Yes,29.9845,80.7524,4.7,386,83.0,"Beautiful Himalayan valley featuring waterfalls, forests and traditional settlements in a peaceful environment."
786,786,D399,Byas Rural Municipality,Darchula,Sudurpashchim,Mountain,Cultural Landscape,Cultural,"Village Tour,Cultural Experience",May-Oct,6000,3,Moderate,Yes,30.1821,80.9842,4.6,265,80.0,"Remote Himalayan region preserving ancient Byasi traditions, Tibetan-influenced culture and magnificent mountain scenery."
787,787,D400,Dogadakedar Temple,Baitadi,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Pilgrimage,Cultural Tour",All Year,1200,1,Easy,Yes,29.5873,80.4821,4.8,1352,91.0,"One of the oldest and most sacred temples in Baitadi dedicated to Lord Shiva, attracting pilgrims from across western Nepal."
788,788,D401,Sigas Rural Municipality,Baitadi,Sudurpashchim,Hill,Cultural Landscape,Cultural,"Village Tour,Hiking,Photography",Oct-Apr,2200,1,Easy,Yes,29.6184,80.6248,4.4,286,73.0,"Peaceful hill region known for terraced farms, traditional villages and panoramic mountain scenery."
789,789,D402,Shivnath Temple,Baitadi,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Photography",All Year,1000,1,Easy,Yes,29.5542,80.5386,4.6,584,81.0,Historic Hindu temple visited throughout the year for religious festivals and cultural events.
790,790,D403,Surnaya Valley,Baitadi,Sudurpashchim,Hill,Valley,Nature,"Photography,Hiking",Oct-Apr,2500,2,Moderate,Yes,29.6041,80.6014,4.5,318,77.0,Beautiful valley surrounded by forests and traditional settlements offering peaceful hiking opportunities.
791,791,D404,Dashrath Chand Memorial Park,Baitadi,Sudurpashchim,Hill,Park,Cultural,"History,Walking,Photography",All Year,800,1,Easy,Yes,29.5308,80.5472,4.3,296,70.0,Public park dedicated to Nepal's martyr Dashrath Chand featuring landscaped gardens and historical monuments.
792,792,D405,Seti River Viewpoint,Doti,Sudurpashchim,Hill,Viewpoint,Nature,"Photography,Sunset",Oct-Apr,1500,1,Easy,Yes,29.2476,80.9184,4.5,482,79.0,Scenic viewpoint overlooking the Seti River valley with panoramic mountain landscapes.
793,793,D406,Jorayal Forest,Doti,Sudurpashchim,Hill,Forest,Nature,"Nature Walk,Bird Watching",Oct-Apr,2000,1,Easy,Yes,29.1825,80.8842,4.4,245,72.0,Dense hill forest rich in biodiversity and suitable for short hikes and birdwatching.
794,794,D407,Doti Palace Ruins,Doti,Sudurpashchim,Hill,Historical,Cultural,"History,Photography",All Year,1200,1,Easy,Yes,29.2715,80.9426,4.4,378,75.0,Historic ruins representing the medieval Doti Kingdom and the architectural heritage of western Nepal.
795,795,D408,Sanfebagar Airport Viewpoint,Achham,Sudurpashchim,Hill,Viewpoint,Nature,"Plane Spotting,Photography",All Year,1200,1,Easy,Yes,29.0587,81.2115,4.3,312,70.0,Popular hilltop viewpoint overlooking Sanfebagar Airport and the surrounding valleys.
796,796,D409,Budhiganga Riverside,Achham,Sudurpashchim,Hill,River,Nature,"Fishing,Picnic,Photography",Oct-Apr,1500,1,Easy,Yes,29.1038,81.2264,4.5,284,74.0,"Peaceful riverside destination ideal for picnics, photography and relaxing in a natural environment."
797,797,D410,Ramaroshan View Tower,Achham,Sudurpashchim,Hill,Viewpoint,Nature,"Sunrise,Photography,Hiking",Oct-Apr,1800,1,Easy,Yes,29.1762,81.0398,4.7,596,84.0,Hilltop tower offering spectacular sunrise views over the Ramaroshan alpine region.
798,798,D411,Bedkot Forest Trail,Kanchanpur,Sudurpashchim,Terai,Forest,Nature,"Nature Walk,Bird Watching",Oct-Apr,1200,1,Easy,Yes,28.9725,80.2276,4.5,418,77.0,"Beautiful forest trail suitable for birdwatching, walking and enjoying the biodiversity of the Terai."
799,799,D412,Mahendranagar Museum,Kanchanpur,Sudurpashchim,Terai,Museum,Cultural,"History,Cultural Tour",All Year,700,1,Easy,Yes,28.9635,80.1804,4.3,382,71.0,"Local museum displaying historical artifacts, cultural exhibits and the heritage of far-western Nepal."
800,800,D413,Dodhara Riverside Park,Kanchanpur,Sudurpashchim,Terai,Park,Family,"Picnic,Walking,Photography",All Year,800,1,Easy,Yes,28.9808,80.1084,4.4,524,76.0,"Riverside recreational park offering picnic areas, walking paths and scenic river views."
801,801,D414,Krishnapur Forest,Kanchanpur,Sudurpashchim,Terai,Forest,Nature,"Wildlife Watching,Hiking",Oct-Apr,1800,1,Easy,Yes,28.8615,80.3148,4.5,364,78.0,Protected Terai forest supporting diverse wildlife and peaceful nature walks.
802,802,D415,Attariya Forest Park,Kailali,Sudurpashchim,Terai,Park,Family,"Walking,Photography,Relaxation",All Year,800,1,Easy,Yes,28.6935,80.7814,4.3,468,73.0,"Urban green park popular with families, joggers and visitors seeking a quiet outdoor environment."
803,803,D416,Mohana River,Kailali,Sudurpashchim,Terai,River,Nature,"Fishing,Photography",Oct-Apr,1800,1,Easy,Yes,28.6984,80.5615,4.5,605,80.0,Major river flowing through Kailali with scenic riverbanks and opportunities for recreation.
804,804,D417,Joshipur Wetlands,Kailali,Sudurpashchim,Terai,Wetland,Nature,"Bird Watching,Photography",Oct-Apr,1500,1,Easy,Yes,28.6138,80.9724,4.6,342,79.0,Important wetland ecosystem supporting migratory birds and rich biodiversity.
805,805,D418,Lamki Bazaar,Kailali,Sudurpashchim,Terai,Urban,Cultural,"Shopping,Local Food",All Year,1200,1,Easy,Yes,28.6408,81.0635,4.2,586,70.0,Busy commercial town serving as an important gateway to western Nepal with vibrant local markets.
806,806,D419,Mohanpur Community Forest,Kailali,Sudurpashchim,Terai,Forest,Nature,"Nature Walk,Bird Watching",Oct-Apr,1000,1,Easy,Yes,28.7128,80.6424,4.4,315,75.0,Community-managed forest preserving local biodiversity while providing recreational opportunities for visitors.
807,807,D420,Ugratara Bhagwati Temple,Dadeldhura,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Pilgrimage",All Year,1000,1,Easy,Yes,29.2989,80.5815,4.8,1850,91.0,One of the most important religious sites of Dadeldhura visited by thousands of devotees during Dashain and other Hindu festivals.
808,808,D421,Ajaymeru Rural Municipality,Dadeldhura,Sudurpashchim,Hill,Cultural Landscape,Cultural,"Village Tour,Hiking,Photography",Oct-Apr,1800,1,Easy,Yes,29.3142,80.6123,4.4,365,76.0,"Beautiful hill region known for traditional settlements, terraced fields and panoramic Himalayan scenery."
809,809,D422,Parshuram Dham,Dadeldhura,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Cultural Tour",All Year,1500,1,Easy,Yes,29.1835,80.7421,4.7,1432,88.0,"Sacred pilgrimage site associated with Sage Parshuram, attracting visitors seeking spiritual and cultural experiences."
810,810,D423,Jogbuda River,Dadeldhura,Sudurpashchim,Hill,River,Nature,"Photography,Fishing",Oct-Apr,1800,1,Easy,Yes,29.1746,80.7062,4.5,482,79.0,Scenic river flowing through forested valleys offering peaceful natural surroundings and photography opportunities.
811,811,D424,Sahasralinga Temple,Doti,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Pilgrimage",All Year,1200,1,Easy,Yes,29.2856,80.9213,4.7,824,86.0,Ancient Shiva temple famous among local pilgrims and surrounded by beautiful hill landscapes.
812,812,D425,Badi Kedar Temple,Doti,Sudurpashchim,Hill,Religious,Religious,"Temple Visit,Cultural Tour",All Year,1200,1,Easy,Yes,29.2615,80.9658,4.6,715,84.0,Historic temple dedicated to Lord Shiva and an important religious destination of Doti district.
813,813,D426,Doti Durbar Area,Doti,Sudurpashchim,Hill,Historical,Cultural,"History,Photography",All Year,1000,1,Easy,Yes,29.2724,80.9448,4.4,395,75.0,Historic remains representing the old Doti Kingdom and its architectural heritage.
814,814,D427,Ramaroshan Wetlands,Achham,Sudurpashchim,Hill,Wetland,Nature,"Bird Watching,Photography",May-Oct,2200,1,Easy,Yes,29.1825,81.0415,4.6,402,81.0,Beautiful wetland ecosystem surrounded by alpine meadows supporting diverse birdlife.
815,815,D428,Binayak Temple,Achham,Sudurpashchim,Hill,Religious,Religious,Temple Visit,All Year,1000,1,Easy,Yes,29.0924,81.2334,4.6,514,82.0,Popular local temple dedicated to Lord Ganesh attracting pilgrims throughout the year.
816,816,D429,Kalanga Historical Area,Achham,Sudurpashchim,Hill,Historical,Cultural,"History,Hiking",Oct-Apr,1800,1,Easy,Yes,29.1348,81.1925,4.4,248,73.0,Historic hill settlement preserving local history and traditional architecture.
817,817,D430,Api Himal Viewpoint,Darchula,Sudurpashchim,Mountain,Viewpoint,Trekking,"Photography,Sunrise,Hiking",Apr-Nov,5000,2,Moderate,Yes,30.0524,80.9248,4.8,942,90.0,Excellent viewpoint offering magnificent sunrise views of Mount Api and surrounding Himalayan peaks.
818,818,D431,Nampa Himal Viewpoint,Darchula,Sudurpashchim,Mountain,Viewpoint,Trekking,"Photography,Hiking",Apr-Nov,4800,2,Moderate,Yes,30.0714,80.9532,4.8,684,88.0,Scenic trekking destination overlooking the Nampa Himalayan range and alpine valleys.
819,819,D432,Khalanga View Tower,Darchula,Sudurpashchim,Hill,Viewpoint,Nature,"Photography,Sunset",Oct-Apr,1500,1,Easy,Yes,29.8524,80.5415,4.5,415,79.0,"Popular viewpoint overlooking Khalanga Bazaar, Mahakali River and surrounding mountain scenery."
820,820,D433,Mahakali Riverside Trail,Darchula,Sudurpashchim,Hill,Hiking Trail,Adventure,"Walking,Photography",Oct-Apr,2500,1,Easy,Yes,29.8612,80.5481,4.6,536,82.0,Scenic walking trail following the Mahakali River with impressive landscapes and local villages.
821,821,D434,Budhinanda Base Camp,Bajura,Sudurpashchim,Mountain,Trekking,Adventure,"Camping,Hiking",May-Oct,11000,3,Moderate,No,29.8124,81.4725,4.8,615,89.0,Starting point for trekking adventures toward Budhinanda Lake through forests and alpine grasslands.
822,822,D435,Badimalika Grasslands,Bajura,Sudurpashchim,Mountain,Grassland,Nature,"Camping,Horse Riding",Jul-Oct,4500,2,Moderate,Yes,29.7445,81.4358,4.8,854,90.0,Rolling alpine meadows surrounding Badimalika Temple famous for seasonal flowers and spectacular Himalayan scenery.
823,823,D436,Budhiganga Valley,Bajura,Sudurpashchim,Hill,Valley,Nature,"Photography,Hiking",Oct-Apr,2200,1,Easy,Yes,29.5982,81.2421,4.5,296,77.0,"Beautiful river valley offering peaceful landscapes, traditional villages and agricultural terraces."
824,824,D437,Saipal Viewpoint,Bajhang,Sudurpashchim,Mountain,Viewpoint,Trekking,"Photography,Sunrise",Apr-Nov,4500,2,Moderate,Yes,30.1182,81.0714,4.8,715,89.0,One of the best viewpoints for observing Mount Saipal and the surrounding Himalayan range.
825,825,D438,Surma Village,Bajhang,Sudurpashchim,Mountain,Village,Cultural,"Village Tour,Cultural Experience",May-Oct,3500,2,Moderate,Yes,29.9854,81.1635,4.6,384,80.0,"Traditional Himalayan settlement preserving unique mountain culture, architecture and local customs."
